sample_role,sample_count,median_probability,median_distance_to_fire_km,median_rank,mean_suggested_weight,median_relative_humidity,median_wind_speed,median_temperature,median_distance_to_road_1km,median_DEM_1km,summary_type,landcover_code,landcover_label,count,percent_within_role
hard_negative_candidate,150.0,0.988284765,378.3602989419794,13.0,1.7333333333333334,83.95153045654297,8.399338722229004,13.490175247192383,1000.0,635.7434692382812,numeric,,,,
near_fire_candidate,13.0,0.46547845,11.729663835402238,214.0,1.1538461538461537,69.0008316040039,18.999338150024414,13.754093170166016,1414.213623046875,583.7213134765625,numeric,,,,
hard_negative_candidate,,,,,,,,,,,landcover,210.0,coniferous,52.0,34.666666666666664
hard_negative_candidate,,,,,,,,,,,landcover,220.0,broadleaf,25.0,16.666666666666668
hard_negative_candidate,,,,,,,,,,,landcover,100.0,herbs,18.0,12.0
hard_negative_candidate,,,,,,,,,,,landcover,230.0,mixedwood,18.0,12.0
hard_negative_candidate,,,,,,,,,,,landcover,80.0,wetland,11.0,7.333333333333333
hard_negative_candidate,,,,,,,,,,,landcover,81.0,wetland_treed,10.0,6.666666666666667
hard_negative_candidate,,,,,,,,,,,landcover,50.0,shrubland,9.0,6.0
hard_negative_candidate,,,,,,,,,,,landcover,20.0,water,5.0,3.3333333333333335
hard_negative_candidate,,,,,,,,,,,landcover,33.0,exposed_barren_land,2.0,1.3333333333333333
near_fire_candidate,,,,,,,,,,,landcover,210.0,coniferous,4.0,30.76923076923077
near_fire_candidate,,,,,,,,,,,landcover,100.0,herbs,3.0,23.076923076923077
near_fire_candidate,,,,,,,,,,,landcover,220.0,broadleaf,3.0,23.076923076923077
near_fire_candidate,,,,,,,,,,,landcover,20.0,water,1.0,7.6923076923076925
near_fire_candidate,,,,,,,,,,,landcover,50.0,shrubland,1.0,7.6923076923076925
near_fire_candidate,,,,,,,,,,,landcover,80.0,wetland,1.0,7.6923076923076925
